Date,BTC-USD,GLD,QQQ,SPY,^GSPC
2019-11-25,7146.1337890625,137.0800018310547,196.1693878173828,284.2452697753906,3133.639892578125
2019-11-26,7218.37109375,137.74000549316406,196.54403686523438,284.8892822265625,3140.52001953125
2019-11-27,7531.66357421875,137.00999450683594,197.91766357421875,286.1592712402344,3153.6298828125
2019-11-28,7463.10595703125,,,,
2019-11-29,7761.24365234375,137.86000061035156,197.01470947265625,285.09796142578125,3140.97998046875
2019-11-30,7569.6298828125,,,,
2019-12-01,7424.29248046875,,,,
2019-12-02,7321.98828125,137.7899932861328,194.99745178222656,282.6761779785156,3113.8701171875
2019-12-03,7320.1455078125,139.11000061035156,193.47018432617188,280.78033447265625,3093.199951171875
2019-12-04,7252.03466796875,138.9199981689453,194.449951171875,282.5129089355469,3112.760009765625
2019-12-05,7448.3076171875,139.0,194.8341827392578,283.0207824707031,3117.429931640625
2019-12-06,7546.99658203125,137.6199951171875,196.91864013671875,285.6058654785156,3145.909912109375
2019-12-07,7556.23779296875,,,,
2019-12-08,7564.34521484375,,,,
2019-12-09,7400.8994140625,137.5800018310547,196.0253143310547,284.7079772949219,3135.9599609375
2019-12-10,7278.11962890625,137.97000122070312,195.8620147705078,284.39031982421875,3132.52001953125
2019-12-11,7217.42724609375,138.9199981689453,196.8994140625,285.19781494140625,3141.6298828125
2019-12-12,7243.13427734375,138.42999267578125,198.36911010742188,287.6558837890625,3168.570068359375
2019-12-13,7269.6845703125,139.0500030517578,199.0222930908203,287.8282165527344,3168.800048828125
2019-12-14,7124.673828125,,,,
2019-12-15,7152.3017578125,,,,
2019-12-16,6932.48046875,139.0399932861328,201.0203094482422,289.8056335449219,3191.449951171875
2019-12-17,6640.51513671875,139.00999450683594,201.13558959960938,289.8691101074219,3192.52001953125
2019-12-18,7276.802734375,139.02000427246094,201.28929138183594,289.8871765136719,3191.139892578125
2019-12-19,7202.84423828125,139.3800048828125,202.5476531982422,291.0755310058594,3205.3701171875
2019-12-20,7218.81640625,139.52000427246094,203.36412048339844,292.3515930175781,3221.219970703125
2019-12-21,7191.15869140625,,,,
2019-12-22,7511.5888671875,,,,
2019-12-23,7355.62841796875,139.9499969482422,203.9012908935547,292.7982177734375,3224.010009765625
2019-12-24,7322.5322265625,141.27000427246094,204.0072021484375,292.807373046875,3223.3798828125
2019-12-25,7275.15576171875,,,,
2019-12-26,7238.966796875,142.3800048828125,205.80734252929688,294.3660583496094,3239.909912109375
2019-12-27,7290.08837890625,142.3300018310547,205.63404846191406,294.2930603027344,3240.02001953125
2019-12-28,7317.990234375,,,,
2019-12-29,7422.65283203125,,,,
2019-12-30,7292.9951171875,142.6300048828125,204.28636169433594,292.6706237792969,3221.2900390625
2019-12-31,7193.59912109375,142.89999389648438,204.6714630126953,293.3815612792969,3230.780029296875
2020-01-01,7200.17431640625,,,,
2020-01-02,6985.47021484375,143.9499969482422,208.08885192871094,296.1253356933594,3257.85009765625
2020-01-03,7344.88427734375,145.86000061035156,206.1827850341797,293.8829345703125,3234.85009765625
2020-01-04,7410.65673828125,,,,
2020-01-05,7411.3173828125,,,,
2020-01-06,7769.21923828125,147.38999938964844,207.51132202148438,295.004150390625,3246.280029296875
2020-01-07,8163.6923828125,147.97000122070312,207.482421875,294.1746826171875,3237.179931640625
2020-01-08,8079.86279296875,146.86000061035156,209.04188537597656,295.7424621582031,3253.050048828125
2020-01-09,7879.0712890625,146.02999877929688,210.81321716308594,297.7478332519531,3274.699951171875
2020-01-10,8166.55419921875,146.91000366210938,210.2741241455078,296.8910217285156,3265.35009765625
2020-01-11,8037.53759765625,,,,
2020-01-12,8192.494140625,,,,
2020-01-13,8144.1943359375,145.82000732421875,212.7000732421875,298.9327697753906,3288.1298828125
2020-01-14,8827.7646484375,145.69000244140625,211.86251831054688,298.47705078125,3283.14990234375
2020-01-15,8807.0107421875,146.5399932861328,211.94915771484375,299.1515808105469,3289.2900390625
2020-01-16,8723.7861328125,146.30999755859375,213.98033142089844,301.63995361328125,3316.81005859375
2020-01-17,8929.0380859375,146.5800018310547,215.03929138183594,302.578857421875,3329.6201171875
2020-01-18,8942.80859375,,,,
2020-01-19,8706.2451171875,,,,
2020-01-20,8657.642578125,,,,
